epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.95073,1.11941,0.09524,1,1.25394,8.574e-05,8.574e-05,8.574e-05
2,17.6631,1.14163,0.28571,1,1.173,0.000167379,0.000167379,0.000167379
3,25.4814,1.143,0.42857,1,1.09147,0.000229212,0.000229212,0.000229212
4,33.2641,0.94897,0.66667,1,0.86621,0.000271238,0.000271238,0.000271238
5,40.9978,0.8969,0.66667,1,0.89207,0.000293459,0.000293459,0.000293459
6,48.8523,0.80239,0.80952,1,0.75043,0.000295874,0.000295874,0.000295874
7,56.68,0.82689,0.90476,1,0.66313,0.000278484,0.000278484,0.000278484
8,64.3952,0.80532,0.90476,1,0.64857,0.000241287,0.000241287,0.000241287
9,72.1767,0.76675,0.95238,1,0.59787,0.000184284,0.000184284,0.000184284
10,79.8655,0.80583,0.95238,1,0.59392,0.000107475,0.000107475,0.000107475
