epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,21.0279,1.1102,0.26667,1,1.12244,0.00015719,0.00015719,0.00015719
2,42.2924,1.05287,0.55556,1,0.89474,0.000317824,0.000317824,0.000317824
3,62.7931,0.97142,0.84444,1,0.66084,0.00046714,0.00046714,0.00046714
4,83.1857,0.85783,0.84444,1,0.57951,0.000605139,0.000605139,0.000605139
5,103.688,0.68845,0.88889,1,0.34898,0.000731819,0.000731819,0.000731819
6,124.099,0.65061,0.93333,1,0.25169,0.000847183,0.000847183,0.000847183
7,144.396,0.64025,0.93333,1,0.26904,0.000951228,0.000951228,0.000951228
8,164.823,0.41037,0.97778,1,0.14939,0.00104396,0.00104396,0.00104396
9,185.459,0.38727,0.97778,1,0.09461,0.00105174,0.00105174,0.00105174
10,206.494,0.4316,0.97778,1,0.09424,0.00100459,0.00100459,0.00100459
11,227.403,0.44559,0.97778,1,0.09064,0.00095743,0.00095743,0.00095743
12,248.161,0.35352,0.97778,1,0.05801,0.000910273,0.000910273,0.000910273
13,268.357,0.44371,1,1,0.0377,0.000863116,0.000863116,0.000863116
14,288.672,0.34543,1,1,0.03114,0.000815959,0.000815959,0.000815959
15,308.957,0.24959,1,1,0.02999,0.000768802,0.000768802,0.000768802
16,329.37,0.32941,1,1,0.03144,0.000721645,0.000721645,0.000721645
17,349.74,0.3198,1,1,0.01618,0.000674488,0.000674488,0.000674488
18,370.114,0.44813,1,1,0.01039,0.000627331,0.000627331,0.000627331
19,390.447,0.31543,1,1,0.01014,0.000580174,0.000580174,0.000580174
20,410.74,0.2423,1,1,0.01041,0.000533017,0.000533017,0.000533017
21,431.018,0.32662,1,1,0.01491,0.00048586,0.00048586,0.00048586
22,451.37,0.23407,1,1,0.00827,0.000438703,0.000438703,0.000438703
23,471.638,0.16413,1,1,0.00868,0.000391546,0.000391546,0.000391546
24,491.941,0.40016,1,1,0.01371,0.000344389,0.000344389,0.000344389
25,512.224,0.21212,1,1,0.00637,0.000297232,0.000297232,0.000297232
26,532.587,0.2042,1,1,0.0081,0.000250075,0.000250075,0.000250075
27,552.782,0.10906,1,1,0.00884,0.000202918,0.000202918,0.000202918
28,573.2,0.4814,1,1,0.0072,0.000155761,0.000155761,0.000155761
29,593.55,0.25607,1,1,0.00753,0.000108604,0.000108604,0.000108604
30,613.824,0.26938,1,1,0.00662,6.1447e-05,6.1447e-05,6.1447e-05
